date,year,month,day,start,start_hour,end,end_hour,duration_mins,type,,
10.10.2018,2018,10,10,17:20,17,18:37,18,77,TKO_Road_BrokenCar,,
12.10.2018,2018,10,12,16:38,16,17:10,17,32,TKO_Tunnel_Accident,,
16.10.2018,2018,10,16,10:40,10,11:29,11,49,TKO_Tunnel_Accident,,
16.10.2018,2018,10,16,11:53,11,12:37,12,44,TKO_Tunnel_Accident,,
18.10.2018,2018,10,18,07:19,7,08:09,8,50,TKO_Tunnel_BrokenCar,,
18.10.2018,2018,10,18,11:00,11,11:34,11,34,TKO_Tunnel_BrokenCar,,
23.10.2018,2018,10,23,08:40,8,08:55,8,15,TKO_Tunnel_Accident,,
30.10.2018,2018,10,30,16:10,16,16:40,16,30,TKO_Road_Accident,,
30.10.2018,2018,10,30,19:30,19,20:07,20,37,TKO_Road_Accident,,
31.10.2018,2018,10,31,08:26,8,08:50,8,24,TKO_Road_Accident,,
31.10.2018,2018,10,31,15:53,15,16:09,16,16,TKO_Road_BrokenCar,,
01.11.2018,2018,11,1,07:26,7,07:56,7,30,TKO_Road_BrokenCar,,
02.11.2018,2018,11,2,09:56,9,10:51,10,55,TKO_Road_Accident,,
03.11.2018,2018,11,3,06:56,6,07:00,7,4,TKO_Tunnel_Accident,,
03.11.2018,2018,11,3,13:41,13,14:06,14,25,TKO_Road_BrokenCar,,
04.11.2018,2018,11,4,12:40,12,13:10,13,30,TKO_Tunnel_BrokenCar,,
04.11.2018,2018,11,4,13:50,13,14:24,14,34,TKO_Road_Accident,,
04.11.2018,2018,11,4,15:00,15,15:12,15,12,TKO_Tunnel_Accident,,
11.11.2018,2018,11,11,18:37,18,19:00,19,23,TKO_Road_BrokenCar,,
14.11.2018,2018,11,14,09:55,9,10:25,10,30,TKO_Road_Accident,,
14.11.2018,2018,11,14,18:18,18,18:27,18,9,TKO_Road_Accident,,
19.11.2018,2018,11,19,16:08,16,17:57,17,109,TKO_Road_BrokenCar,,
23.11.2018,2018,11,23,14:10,14,15:30,15,80,TKO_Road_Accident,,
23.11.2018,2018,11,23,19:39,19,20:19,20,40,TKO_Road_Accident,,
24.11.2018,2018,11,24,09:16,9,10:28,10,72,TKO_Tunnel_BrokenCar,,
24.11.2018,2018,11,24,18:14,18,19:33,19,79,TKO_Tunnel_Accident,,
25.11.2018,2018,11,25,17:05,17,17:40,17,35,TKO_Tunnel_Accident,,
02.12.2018,2018,12,2,12:15,12,12:42,12,27,TKO_Road_Accident,,
03.12.2018,2018,12,3,15:00,15,15:29,15,29,TKO_Road_Accident,,
04.12.2018,2018,12,4,08:40,8,08:50,8,10,TKO_Road_Accident,,
07.12.2018,2018,12,7,12:55,12,13:20,13,25,TKO_Road_BrokenCar,,
10.12.2018,2018,12,10,19:39,19,19:52,19,13,TKO_Road_Accident,,
